"Moniker","Operator Address","Consensus Address","Bond Status"
"AI","nvaloper1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4k062rxd",nvalcons1psa6vrw6llxtxmwc0huc8l27kdzswzzv8dkq9k,"BOND_STATUS_BONDED"
"Blockfend Genesis Labs","nvaloper1aqxz5rhsu59tz3fykskqprarq2c2vxqv2jaysv",nvalcons1dmmwu33q03v6efxd6qgl6q9qmr6pw2ldpudny0,"BOND_STATUS_BONDED"
"Castle Bravo","nvaloper1w4slt0un6ac2l6nnwkkrm2yg39mghpgx98v0ka",nvalcons1uw2v9amzt4g5kxlstmwxqvckwwydu3unyh7cu9,"BOND_STATUS_BONDED"
"Chorus One","nvaloper15urq2dtp9qce4fyc85m6upwm9xul3049ckp6x4",nvalcons1wjea49gfwagg4t43qketph4l6mz5hr6q7907v7,"BOND_STATUS_BONDED"
"Commodum","nvaloper14epla9mvgwl8456l4emvvchyj6reqg8a79fayw",nvalcons1wwphhcufmqh83qd4qjjr7s9d7jz4uw6dv9d6xx,"BOND_STATUS_BONDED"
"Cosmostation","nvaloper1upxrtt7nm7dpqe3ee9apaj838j9n2p2rqaswjn",nvalcons17d0a6w6zjkkcp76azsqjuey39ryrheaudp7m6f,"BOND_STATUS_BONDED"
"EZ Staking","nvaloper1gjtvly9lel6zskvwtvlg5vhwpu9c9wawlfdx8d",nvalcons1gaspkx8s7s6rwhmjrxk999lp2eze625vps75uy,"BOND_STATUS_BONDED"
"Eden Block","nvaloper18xr68spwm96vvehuvwf6ay9er0gd7q7ae8w8ns",nvalcons1265ldtvp09h2p2k23hv7hjak7efe7zgr663s33,"BOND_STATUS_BONDED"
"FairStaking","nvaloper12uspvr6qnrn9exf083t8l3khmd5n4r746n6ydf",nvalcons1zd2vuds4xfw3sg8y28kc4cy6q4amyf6nqjfvdd,"BOND_STATUS_BONDED"
"Figment","nvaloper1e22wh85arrkpe6derct4l5r4gp3awvase24pf6",nvalcons1utn9jqa6k56yuh8lmhpv6cu2dw4jutnee7cd87,"BOND_STATUS_BONDED"
